IID,Coefficient,StandardError
A_08_01,0.2945494749411286,0.13791038646934378
A_51_01,0.29343980326592084,0.14096114516327682
A_18_01,0.11132101625511943,0.176224269962675
A_15_01,0.03133779934586562,0.14405487884317708
A_07_02,0.06948500562514906,0.11158119501480317
A_13_02,0.25965147404216316,0.2220796492551601
A_14_01,0.6163088312833662,0.38624396444780357
A_40_06,-0.08905846061135499,0.3484464357275152
A_35_01,-0.02118808108784704,0.145877418440067
A_46_01,0.2787690120894989,0.3246804328988389
A_39_01,-0.24467039889595257,0.29489893638142073
A_40_01,-0.26204108161681344,0.17664378011967952
A_40_02,0.12724968774401296,0.23409773731484093
A_35_03,0.5115466620923743,0.3063212733334798
A_44_03,-0.6456384237765598,0.21004252657254352
A_52_01,0.18781607611159526,0.30041812064076406
A_44_05,-1.9085410025473486,1.0260017951698273
A_35_02,-0.4705860016619219,0.41121068001030175
A_15_35,0.5904658359621671,0.732129976226224
A_41_01,0.8210620151467359,0.4440193096397921
A_35_05,-0.6951531992868117,1.0813602631526353
A_45_01,-0.3144832757030556,0.44589454020593433
A_53_01,0.1591098490054516,0.3500793906558798
