IID,Coefficient,StandardError
A_02_01,-0.014049155773789339,0.11870939156227485
A_05_01,0.14558521498844895,0.12553203063034846
A_01_02,0.15550319232942503,0.07992299044241223
A_01_01,-0.35522237643241694,0.14315574181282062
A_05_05,-0.22658923338318918,0.11449583149854164
A_01_03,0.02521698613032588,0.1416564885049817
A_03_01,0.003815425269062604,0.12348898668510763
A_03_03,-0.08325492253164125,0.16149397110025296
A_01_04,-0.06324095061180653,0.22671300987130932
A_01_05,0.7346771683647887,0.3144765675738957
A_05_03,0.34052082514721327,0.46067950655866285
A_03_02,0.30728878506655066,0.2146013932591716
A_06_01,-0.29728764170165917,0.40574424847143203
A_04_01,-0.1596075475135874,0.23536530843452025
A_05_08,-0.8499734472676415,1.0702947926798214
A_05_09,-19.32662751361064,27235.76989474871
