IID,Coefficient,StandardError
A_03_01,0.15828608574905526,0.12562436919850306
A_07_01,-0.07333243266146697,0.1137765122972669
A_01_01,-0.33450081903219564,0.15767197886206644
A_04_06,0.5148578872939291,0.5601803316279937
A_04_01,-0.10811498316061362,0.15705640024594703
A_15_02,0.19798727002049216,0.2750653994281096
A_04_04,0.23083236215733666,0.22126056102507197
A_12_01,-1.0904164652232615,0.3710519603999252
A_03_02,-0.6413687393468027,0.6283655337565479
A_11_01,-5.321125226779526e-16,0.13613193111995134
A_08_03,-0.4486032588462493,0.45286266318279655
A_09_01,0.19046091456398526,0.20696894037449132
A_13_02,0.0882283049315172,0.18605858586942842
A_01_02,-0.23869484105744201,0.33715874328557127
A_01_03,-0.3704111484299009,0.6426048378648466
A_04_05,-0.018084983640845792,0.26952818333658707
A_11_04,-0.1451020105694948,0.2936142337623618
A_08_04,0.340520825147213,0.46067950655866285
A_15_01,0.12434014834741691,0.08950360639840302
A_14_01,-0.05790456778640688,0.24234162501094633
A_08_02,0.35681428464305703,0.4079884427071434
A_13_01,0.04570766274125787,0.16075237780441226
A_08_01,-0.4520682561730663,0.3710029189301302
