IID,Coefficient,StandardError
A_06_02,0.05237222011031702,0.13142681022764988
A_03_02,0.3245699581359707,0.3678291099490039
A_03_04,-0.3004811661654221,0.14808673152977822
A_02_02,-0.2162935800235143,0.18802851154594466
A_07_02,0.08558634415990994,0.09960773405668438
A_03_03,0.07831349176711835,0.14328945774300916
A_07_01,0.2171155255892938,0.11200433332613535
A_08_01,-0.43567317174751785,0.26905669099197216
A_04_01,-0.05961586320743777,0.11578663556878087
A_01_02,-0.012354251627106986,0.1574130807956267
A_12_03,0.12212954835541585,0.1673974411222476
A_05_01,-0.23905315300627628,0.16370599264854563
A_08_02,0.11364474558973763,0.2102655799670258
A_15_02,0.40147701071434294,0.20377637269177307
A_07_04,-0.3218930620824018,0.3753109710829875
A_16_01,-0.34929772362169403,0.23469248998144526
A_12_02,0.36240212442890235,0.2909124066690248
A_02_10,0.5148578872939291,0.5601803316279937
A_17_01,-0.16543111177358677,0.3725798639225293
A_14_02,0.24812657523109452,0.2597459771186578
A_04_03,-14.72260888731815,1216.6878832642278
A_08_04,-0.2883502983369873,1.1192285098289325
A_14_03,-18.390948113332325,4906.4737904431595
