IID,Coefficient,StandardError
A_02_01,0.16789983813818074,0.12611055573395455
A_02_02,-0.09140943078140386,0.12738182938083345
A_03_01,-0.1863153269331116,0.09830637331662737
A_05_01,-0.11910081878847856,0.1256536441031275
A_03_02,0.018776820361274676,0.12232344807174429
A_06_01,0.030663940513611588,0.24671065941552422
A_03_03,0.09042641535129517,0.1537248493986333
A_06_02,0.13202171363870174,0.08931715972152389
A_04_02,-0.11966450375608959,0.23391502677665277
A_04_01,-0.09735308143412463,0.36472662349753315
A_05_04,7.576481861867319e-17,1.1558569738602504
A_05_03,-0.023968379881688158,0.21963100828385385
A_06_03,0.03249558973575353,0.16062001584426444
A_06_04,-0.1395834188834446,0.24049754849112118
A_05_02,0.17598879006611934,0.22824626494241226
A_03_04,-0.5121625223608346,1.0966644447309777
A_03_19,-19.32662751361064,27235.76989474871
A_02_03,-19.326627615711853,27235.77128515134
A_06_09,0.46540300407674673,0.32698829931496803
